name	id_staz	id_reg	lat	lon
Campello	S07219	6	42.822814	12.761253
Campiglia Marittima	S06031	13	43.017118	10.586558
Campo Di Carne	S08706	5	41.552116	12.635125
Campo Di Giove	S08903	19	42.007967	14.041492
Campo Di Giove-Monte Maiella	S08919	19	41.993262	14.069088
Campo Di Nusco	S09626	18	40.879143	15.129255
Campo Di Trens 	S02007	9	46.869076	11.488231
Campobasso	S09459	7	41.558137	14.66393
Campobello Di Mazara	S12112	14	37.636256	12.733165
Campobello Ravanusa	S12385	14	37.265731	13.946251
Campodarsego	S02527	12	45.505721	11.900894
Campofelice	S12017	14	37.992615	13.876549
Campofranco	S12211	14	37.510105	13.686777
Campolattaro	S09505	18	41.285869	14.726853
Campoleone	S08602	5	41.642396	12.648341
Campolieto Monacilioni	S09462	7	41.642573	14.76544
Campoligure Masone	S04105	2	44.530909	8.700878
Campomaggiore	S11454	15	40.550772	16.086766
Campomarino	S11020	7	41.957398	15.042416
Campomela	S12815	20	40.68139	8.638875
Campomigliaio	S06659	13	43.937241	11.303593
Campora S.Giov. Serra Aiello	S11745	17	39.068402	16.09102
Camporgiano	S06324	13	44.161448	10.334849
Camposampiero	S02525	12	45.568922	11.928293
Camposanto	S05314	8	44.787527	11.143587
Camucia Cortona	S06921	13	43.261104	11.971245
Cancelliera	S08735	5	41.710587	12.621758
Cancello	S09213	18	40.993063	14.418877
Cancello Arnone	S09002	18	41.063369	14.02901
Candela	S11204	16	41.151439	15.533163
Candelo	S00071	3	45.547433	8.100103
Candia Canavese	S00157	3	45.329824	7.891819
Candia Lomellina	S00333	1	45.179911	8.593156
Candida	S11105	16	41.346664	15.996588
Candiolo	S00512	3	44.961155	7.598973
Candoglia Ornavasso	S01011	3	45.977489	8.419715
Canegrate	S01034	1	45.569235	8.926593
Canelli	S00832	3	44.716716	8.294544
Canetra	S07429	5	42.391578	13.029159
Canicatti`	S12375	14	37.359879	13.855395
Caniga	S12812	20	40.716116	8.526395
Cannara	S07009	6	43.019591	12.628709
Canne Della Battaglia	S11406	16	41.294583	16.146169
Canneto Sull`Oglio	S01848	1	45.150211	10.37147
Canosa Di Puglia	S11402	16	41.218556	16.053906
Cantalupo Del Sannio	S09451	7	41.5174	14.6671
Cantu`	S01451	1	45.752316	9.130321
Cantu`- Cermenate	S01313	1	45.716236	9.099284
Caorso	S01970	8	45.042048	9.868157
Capaccio Roccadaspide	S11702	18	40.454518	15.013551
Capaci	S12128	14	38.171794	13.232398
Capalbio	S08006	13	42.407974	11.370982
Capannelle	S08672	5	41.830713	12.568884
Capistrello	S08850	19	41.97051	13.399276
Capo Bonifati	S11734	17	39.558342	15.874052
Capo D`Orlando-Naso	S12030	14	38.157941	14.744844
Capo Spartivento	S11858	17	37.924778	16.058342
Capodacqua Pieve Fanonica	S07215	6	43.026769	12.7541
Cappelle-Magliano	S08525	19	42.059369	13.372468
Capralba	S01603	1	45.443871	9.640015
Capranica	S08311	5	42.245195	12.157194
Caprarola	S08110	5	42.303815	12.258238
Capriati Al Volturno	S09061	7	41.44279	14.070664
Capriolo	S01622	1	45.64556	9.933806
Capriva	S03301	10	45.938764	13.517494
Capua	S09208	18	41.101306	14.210347
Carate-Calo`	S01486	1	45.676451	9.252304
Caravaggio	S01602	1	45.491158	9.637723
Carbona	S05120	8	44.246876	11.09618
Carbonara Scrivia	S04300	3	44.860173	8.853772
Carbonia Serbariu	S12818	20	39.169508	8.509186
Cardillo Zen	S12140	14	38.17495	13.296897
Carentino	S00839	3	44.831303	8.470474
Cariati	S11818	17	39.496884	16.952018
Carimate	S01315	1	45.697094	9.107188
Carini	S12127	14	38.147696	13.186624
Carini Torre Ciachea	S12799	14	38.16149	13.219641
Carisio	S00055	3	45.403164	8.21249
Carmagnola	S00601	3	44.846944	7.72797
Carmignano Di Brenta	S02532	12	45.621354	11.714891
Carnate Usmate	S01511	1	45.653072	9.375089
Carnia	S03016	10	46.373634	13.132847
Caronia	S12025	14	38.034475	14.443761
Carovigno	S11133	16	40.737337	17.683791
Carovilli-Roccasicura	S08914	7	41.712485	14.299732
Carpane`Valstagna	S02502	12	45.860128	11.661183
Carpi	S02349	8	44.782919	10.891952
Carpignano Sesia	S00971	3	45.528934	8.422898
Carpinone	S09050	7	41.588038	14.326783
Carrara Avenza	S06005	13	44.051239	10.062927
Carrito-Ortona	S08533	19	42.026506	13.720179
Carruba	S12326	14	37.694344	15.196143
Carru` Clavesana	S00738	3	44.479548	7.891414
Carsoli	S08519	19	42.09578	13.080388
Casabianca	S08730	5	41.788327	12.60431
Casacalenda Guardialfiera	S09465	7	41.738109	14.849602
Casal Sabini	S11309	16	40.799021	16.647908
Casalbordino Pollutri	S07821	19	42.193653	14.633045
Casalbuono	S09910	18	40.214093	15.686095
Casalbuttano	S01609	1	45.255398	9.962361
Casale Monferrato	S00314	3	45.133928	8.460292
Casale Popolo	S00179	3	45.160434	8.44055
Casalecchio Di Reno	S05101	8	44.474298	11.276097
Casalecchio Garibaldi	S05111	8	44.482995	11.272474
Casaleggio	S00972	3	45.491298	8.490369
Casaletto Vaprio	S01604	1	45.408641	9.631746
Casalmaggiore	S01850	1	44.993139	10.425023
Casalnuovo	S09216	18	40.915559	14.35296
Casalpusterlengo	S01827	1	45.182473	9.653627
Casarsa	S02830	10	45.953002	12.8406
Cascina	S06505	13	43.674542	10.545225
Caserta	S09211	18	41.068655	14.328457
Casino Di Terra	S06751	13	43.328581	10.662975
Casletto-Rogeno	S01457	1	45.786028	9.275375
Casorate Sempione	S01029	1	45.675075	8.743954
Casoria	S09009	18	40.907762	14.29874
Cassago-Nibionno-Bulciago	S01490	1	45.746243	9.279834
Cassano All`Ionio	S11900	17	39.726326	16.35218
Cassano D`Adda	S01707	1	45.514372	9.512746
Cassano Irpino	S09611	18	40.869227	15.031213
Cassine	S00864	3	44.751513	8.533613
Cassino	S08671	5	41.484306	13.832125
Cassola	S02506	12	45.732291	11.795866
Castagnaro	S02368	12	45.119349	11.403936
Castagneto Carducci	S06029	13	43.16816	10.56399
Castagno	S05122	13	44.012359	10.91538
Castagnole Delle Lanze	S00828	3	44.749341	8.152836
Casteggio	S01942	1	45.017365	9.124595
Castel Bagnolo Di Orte	S08114	5	42.400183	12.400781
Castel Di Sangro	S08910	19	41.777829	14.112049
Castel D`Ario	S02382	1	45.183399	10.97531
Castel Gandolfo	S08703	5	41.746946	12.652266
Castel Lagopesole	S11212	15	40.787682	15.758093
Castel Madama	S08510	5	41.988389	12.864938
Castel S.Angelo	S07407	5	42.379666	13.017612
Castel S.Giorgio Roccapiemonte	S09704	18	40.758713	14.692352
Castel S.Giovanni	S01948	8	45.063272	9.436856
Castel S.Pietro Terme	S05053	8	44.407376	11.597681
Castelbello	S02208	9	46.626994	10.897884
Castelbolognese	S05056	8	44.325391	11.804174
Castelbuono	S12020	14	38.014606	14.108578
Casteldaccia	S12010	14	38.060474	13.536867
Casteldarne 	S02105	9	46.797708	11.844223
Casteldebole	S05102	8	44.503974	11.27456
Castelferretti	S07200	11	43.607303	13.357519
Castelfiorentino	S06802	13	43.60542	10.968048
Castelfranci	S09609	18	40.935968	15.038655
Castelfranco D'Emilia	S05037	8	44.597381	11.056408
Castelfranco Veneto	S02537	12	45.666439	11.934315
Castelguelfo	S05012	8	44.836434	10.176706
Castellalto Canzano	S07901	19	42.69564	13.793043
Castellammare Del Golfo	S12120	14	38.024309	12.912209
Castellammare Di Stabia	S09756	18	40.701398	14.483737
Castellaneta Marina	S11463	16	40.481111	16.965434
Castellazzo Casalcermelli	S04000	3	44.843839	8.589645
Castelleone	S01606	1	45.301826	9.76779
Castelletto Busca	S00720	3	44.501319	7.463939
Castelletto Ticino	S01123	3	45.710757	8.638259
Castellina Ch	S06808	13	43.408744	11.212379
Castellina Marittima	S06024	13	43.406122	10.495776
Castellino Tanaro	S00741	3	44.41657	7.974321
Castello Di Godego	S02507	12	45.688082	11.87759
Castello D`Annone	S00465	3	44.878742	8.312724
Castellucchio	S01923	1	45.144293	10.64749
Castell`Alfero	S00343	3	44.986347	8.220882
Castelmaggiore	S05724	8	44.576055	11.366901
Castelnuovo	S02093	12	45.430843	10.758273
Castelnuovo Belbo	S00836	3	44.798127	8.42516
Castelnuovo Berardenga	S06812	13	43.306882	11.484912
Castelnuovo Di Garfagnana	S06300	13	44.116351	10.409054
Castelplanio Cupramontana	S07204	11	43.481403	13.084733
Castelraimondo Camerino	S07302	11	43.210511	13.057274
Castelrosso	S00233	3	45.201802	7.932162
Castelspina Portanova	S04001	3	44.796662	8.62203
Castelvecchio Pascoli	S06302	13	44.09007	10.455061
Castelvetere	S09608	18	40.952072	15.011348
Castelvetrano	S12113	14	37.684977	12.799552
Castelvetro	S01960	8	45.100095	9.982181
Castiglion Del Lago	S06923	6	43.123195	12.032077
Castiglion Fiorentino	S06920	13	43.34075	11.914362
Castiglioncello	S06729	13	43.404619	10.414354
Castiglione Cosentino	S11909	17	39.35542	16.244388
Castiglione Di Sicilia	S12362	14	37.88674	15.097013
Castiglione In Teverina	S08205	6	42.648544	12.234913
Castione Andevenno	S01429	1	46.161659	9.806151
Castione Dei Marchesi	S01964	8	44.915157	10.044449
Castro-Pofi	S08663	5	41.533014	13.410741
Castronno	S01208	1	45.74524	8.810302
Catania Acquicella	S12337	14	37.492765	15.074699
Catania Centrale	S12332	14	37.506211	15.099417
Catania Ognina	S12331	14	37.534049	15.11261
Catanzaro	S11956	17	38.896222	16.599081
Catanzaro Lido	S11833	17	38.821788	16.612975
Catenanuova	S12244	14	37.562026	14.688263
Cattolica S.Giovanni Gabicce	S07102	8	43.959931	12.745087
Caulonia	S11846	17	38.343785	16.467278
Cava Carbonara	S00279	1	45.147055	9.071387
Cava Dei Tirreni	S09816	18	40.703662	14.708461
Cava Manara	S01804	1	45.144867	9.115332
Cava Tigozzi	S01914	1	45.156823	9.955827
Cavagnolo Brusasco	S00423	3	45.153655	8.047534
Cavalleggeri Aosta	S09113	18	40.819292	14.185679
Cavallermaggiore	S00603	3	44.708147	7.692108
Cavanella D`Adige	S05425	12	45.111263	12.249312
Cavanella Po	S05422	12	45.052208	12.134893
Cavaria Oggiona Jerago	S01210	1	45.698145	8.8035
Cavazzale	S02147	12	45.596079	11.569823
Cavi	S04724	2	44.29354	9.37251
